iter,loss,eval_ber
0,1.511345E+03,0.465262
100,7.368070E+00,0.439312
200,6.659136E+00,0.381867
300,2.521919E+01,0.345191
400,6.324440E+00,0.324039
500,6.462756E+00,0.306434
600,1.848106E+00,0.233141
700,2.048300E+00,0.182324
800,1.616791E+00,0.155172
900,2.431436E+00,0.148066
1000,4.068298E+00,0.147602
1100,4.097489E+00,0.154055
1200,1.375920E+00,0.152270
1300,2.281129E+00,0.152121
1400,7.210375E-01,0.148207
1500,3.751127E+00,0.145602
1600,8.325899E-01,0.153480
1700,-4.903095E-01,0.160629
1800,6.901638E-02,0.186434
1900,8.412271E+00,0.434078
2000,2.990873E+00,0.415371
2100,1.624385E+00,0.347191
2200,1.105696E+01,0.304199
2300,-5.605242E-01,0.278895
2400,1.212714E+00,0.245668
2500,-1.774554E+00,0.239449
2600,-3.188133E+00,0.221516
2700,1.125196E+00,0.223039
2800,-3.828510E+00,0.224402
2900,-2.971298E+00,0.218953
3000,-4.346301E+00,0.209938
